"x","P_exacta","P_acumulada"
0,0.013363,0.013363
1,0.066817,0.080181
2,0.155907,0.236088
3,0.225199,0.461287
4,0.225199,0.686486
5,0.165146,0.851632
6,0.091748,0.94338
7,0.03932,0.9827
8,0.013107,0.995807
9,0.003398,0.999205
10,0.00068,0.999885
11,0.000103,0.999988
12,1.1e-05,0.999999
13,1e-06,1
14,0,1
15,0,1
